num_nodes,t1,t2,current_txpower_dBm,avg_PRR,avg_latency_ms
40,4,20,23,0.987279,15.3076
40,4,40,23,0.98941,15.4091
40,4,60,23,0.985367,15.8128
40,4,80,23,0.984123,16.2123
40,4,100,23,0.988128,16.7845
40,4,120,23,0.984205,17.5908
40,4,140,23,0.9882,18.3488
40,4,160,23,0.985674,19.3806
40,4,180,23,0.982518,20.5072
35,4,20,23,0.988938,15.193235
35,4,40,23,0.986748,15.5089
35,4,60,23,0.985664,15.8277
35,4,80,23,0.988265,16.1967
35,4,100,23,0.987529,16.6289
35,4,120,23,0.986936,17.6355
35,4,140,23,0.990308,18.3758
35,4,160,23,0.991878,19.0287
35,4,180,23,0.988753,19.7983
30,4,20,23,0.990862,15.6719
30,4,40,23,0.991116,15.4894
30,4,60,23,0.991187,15.9363
30,4,80,23,0.988577,16.3854
30,4,100,23,0.991616,16.7752
30,4,120,23,0.989997,17.5376
30,4,140,23,0.991115,18.5903
30,4,160,23,0.989102,19.4573
30,4,180,23,0.991277,20.3296
25,4,20,23,0.99147,15.7945
25,4,40,23,0.992428,15.8703
25,4,60,23,0.993132,16.4427
25,4,80,23,0.992815,16.3151
25,4,100,23,0.991796,17.0392
25,4,120,23,0.9937,18.0239
25,4,140,23,0.99221,18.9193
25,4,160,23,0.992721,19.5404
25,4,180,23,0.992181,20.5336
20,4,20,23,0.993834,16.2175
20,4,40,23,0.994375,15.9875
20,4,40,23,0.995025,16.312
20,4,60,23,0.995269,16.7193
20,4,80,23,0.99132,17.1968
20,4,100,23,0.991938,17.7804
20,4,120,23,0.993122,18.2043
20,4,140,23,0.994435,19.0823
20,4,160,23,0.994676,20.0153
20,4,180,23,0.991871,21.3559
