timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
0.00,1to0,1to0_0,flow0.0,7.10,0.00
0.00,1to0,1to0_1,,,
0.00,1to0,1to0_2,,,
0.00,2to0,2to0_0,flow1.0,3.10,0.00
0.00,2to0,2to0_1,,,
0.00,2to0,2to0_2,,,
0.00,3to0,3to0_0,flow2.0,5.10,0.00
0.00,3to0,3to0_1,,,
0.00,3to0,3to0_2,,,
0.00,4to0,4to0_0,flow3.0,7.10,0.00
0.00,4to0,4to0_1,,,
0.00,4to0,4to0_2,,,
1.00,1to0,1to0_0,flow0.0,7.96,0.86
1.00,1to0,1to0_1,,,
1.00,1to0,1to0_2,,,
1.00,2to0,2to0_0,flow1.0,5.34,2.24
1.00,2to0,2to0_1,,,
1.00,2to0,2to0_2,,,
1.00,3to0,3to0_0,flow2.0,5.31,0.21
1.00,3to0,3to0_1,,,
1.00,3to0,3to0_2,,,
1.00,4to0,4to0_0,flow3.0,7.15,0.05
1.00,4to0,4to0_1,,,
1.00,4to0,4to0_2,,,
2.00,1to0,1to0_0,flow0.0,12.13,4.17
2.00,1to0,1to0_1,,,
2.00,1to0,1to0_2,,,
2.00,2to0,2to0_0,flow1.0,8.01,2.67
2.00,2to0,2to0_1,,,
2.00,2to0,2to0_2,,,
2.00,3to0,3to0_0,flow2.0,5.59,0.28
2.00,3to0,3to0_1,,,
2.00,3to0,3to0_2,,,
2.00,4to0,4to0_0,flow3.0,9.00,1.84
2.00,4to0,4to0_1,,,
2.00,4to0,4to0_2,,,
3.00,1to0,1to0_0,flow0.1,3.10,0.00
3.00,1to0,1to0_0,flow0.0,17.27,5.13
3.00,1to0,1to0_1,,,
3.00,1to0,1to0_2,,,
3.00,2to0,2to0_0,flow1.0,12.13,4.12
3.00,2to0,2to0_1,,,
3.00,2to0,2to0_2,,,
3.00,3to0,3to0_0,flow2.0,6.24,0.65
3.00,3to0,3to0_1,,,
3.00,3to0,3to0_2,,,
3.00,4to0,4to0_0,flow3.1,3.10,0.00
3.00,4to0,4to0_0,flow3.0,13.07,4.07
3.00,4to0,4to0_1,,,
3.00,4to0,4to0_2,,,
4.00,1to0,1to0_0,flow0.1,4.85,1.75
4.00,1to0,1to0_0,flow0.0,25.32,8.05
4.00,1to0,1to0_1,,,
4.00,1to0,1to0_2,,,
4.00,2to0,2to0_0,flow1.1,7.10,0.00
4.00,2to0,2to0_0,flow1.0,17.52,5.38
4.00,2to0,2to0_1,,,
4.00,2to0,2to0_2,,,
4.00,3to0,3to0_0,flow2.0,10.25,4.01
4.00,3to0,3to0_1,,,
4.00,3to0,3to0_2,,,
4.00,4to0,4to0_0,flow3.1,4.60,1.50
4.00,4to0,4to0_0,flow3.0,18.30,5.24
4.00,4to0,4to0_1,,,
4.00,4to0,4to0_2,,,
5.00,1to0,1to0_0,flow0.1,7.10,2.25
5.00,1to0,1to0_0,flow0.0,33.92,8.60
5.00,1to0,1to0_1,,,
5.00,1to0,1to0_2,,,
